margU: 0.500000
C_tot: 15.000000, diff: -0.495357, penalty: 0.000000
C_tot: 30.000000, diff: -0.497979, penalty: 0.000000
C_tot: 0.000001, diff: 57174.664527, penalty: 0.000000
C_tot: 22.500000, diff: -0.497146, penalty: 0.000000
C_tot: 18.750000, diff: -0.496447, penalty: 0.000000
C_tot: 16.500000, diff: -0.495858, penalty: 0.000000
C_tot: 15.750000, diff: -0.495621, penalty: 0.000000
C_tot: 14.625000, diff: -0.495213, penalty: 0.000000
C_tot: 14.250000, diff: -0.495062, penalty: 0.000000
C_tot: 13.500000, diff: -0.494731, penalty: 0.000000
C_tot: 12.000000, diff: -0.493931, penalty: 0.000000
C_tot: 9.000000, diff: -0.491429, penalty: 0.000000
C_tot: 3.000000, diff: -0.467967, penalty: 0.000000
C_tot: 0.000001, diff: 57174.664527, penalty: 0.000000
C_tot: 4.275000, diff: -0.479058, penalty: 0.000000
C_tot: 3.637500, diff: -0.474580, penalty: 0.000000
C_tot: 2.700000, diff: -0.463650, penalty: 0.000000
C_tot: 2.062500, diff: -0.449782, penalty: 0.000000
C_tot: 0.787500, diff: -0.340554, penalty: 0.000000
C_tot: 0.000001, diff: 57174.664527, penalty: 0.000000
C_tot: 1.072500, diff: -0.389936, penalty: 0.000000
C_tot: 0.930000, diff: -0.369401, penalty: 0.000000
C_tot: 0.858750, diff: -0.356293, penalty: 0.000000
C_tot: 0.750000, diff: -0.330941, penalty: 0.000000
C_tot: 0.712500, diff: -0.320209, penalty: 0.000000
C_tot: 0.637500, diff: -0.294539, penalty: 0.000000
C_tot: 0.487500, diff: -0.216519, penalty: 0.000000
C_tot: 0.187500, diff: 0.392087, penalty: 0.000000
C_tot: 0.524625, diff: -0.240415, penalty: 0.000000
C_tot: 0.429824, diff: -0.170285, penalty: 0.000000
C_tot: 0.414660, diff: -0.155766, penalty: 0.000000
C_tot: 0.399660, diff: -0.140207, penalty: 0.000000
C_tot: 0.384660, diff: -0.123308, penalty: 0.000000
C_tot: 0.354660, diff: -0.084760, penalty: 0.000000
C_tot: 0.294660, diff: 0.018648, penalty: 0.000000
C_tot: 0.253401, diff: 0.121547, penalty: 0.000000
C_tot: 0.312216, diff: -0.016143, penalty: 0.000000
C_tot: 0.304325, diff: -0.001049, penalty: 0.000000
C_tot: 0.305519, diff: -0.003388, penalty: 0.000000
C_tot: 0.303863, diff: -0.000139, penalty: 0.000000
C_tot: 0.303713, diff: 0.000157, penalty: 0.000000
C_tot: 0.304013, diff: -0.000435, penalty: 0.000000
C_tot: 0.303792, diff: -0.000000, penalty: 0.000000
